,winner,loser,weight_class,event
9,Chris Weidman,Anderson Silva (c),Middleweight,UFC_on_FX_Belfort_vs_Bisping
10,Flyweight,def.,[g],UFC_on_FX_Belfort_vs_Bisping
11,[h],Jos\xc3\xa9 Aldo (c),UFC on Fox 8,UFC_on_FX_Belfort_vs_Bisping
12,UFC 163,Lightweight,2:00,UFC_on_FX_Belfort_vs_Bisping
13,4:31,[j],1,UFC_on_FX_Belfort_vs_Bisping
14,2,UFC 165,TKO (spinning back kick and punches),UFC_on_FX_Belfort_vs_Bisping
15,"Decision (unanimous) (48\xe2\x80\x9347, 48\xe2\x80\x9347, 49\xe2\x80\x9346)",5:00,Alexander Gustafsson,UFC_on_FX_Belfort_vs_Bisping
16,Junior dos Santos,5,def.,UFC_on_FX_Belfort_vs_Bisping
17,def.,"Decision (split) (48\xe2\x80\x9347, 47\xe2\x80\x9348, 48\xe2\x80\x9347)",Georges St-Pierre (c),UFC_on_FX_Belfort_vs_Bisping
18,Demetrious Johnson (c),Joseph Benavidez,Flyweight,UFC_on_FX_Belfort_vs_Bisping
19,Women\'s Bantamweight,def.,[o],UFC_on_FX_Belfort_vs_Bisping
20,[p],Chris Weidman (c),UFC 168,UFC_on_FX_Belfort_vs_Bisping
21,UFC 168,Middleweight,1:16,UFC_on_FX_Belfort_vs_Bisping
22,1:27,Middleweight,2,UFC_on_FX_Belfort_vs_Bisping
23,5:00,Heavyweight,3,UFC_on_FX_Belfort_vs_Bisping
24,1:01,Lightweight,2,UFC_on_FX_Belfort_vs_Bisping
25,1:55,Featherweight,1,UFC_on_FX_Belfort_vs_Bisping
26,5:00,Middleweight,3,UFC_on_FX_Belfort_vs_Bisping
27,5:00,Featherweight,3,UFC_on_FX_Belfort_vs_Bisping
28,5:00,Lightweight,3,UFC_on_FX_Belfort_vs_Bisping
29,2:38,Bantamweight,1,UFC_on_FX_Belfort_vs_Bisping
30,2:11,Light Heavyweight,1,UFC_on_FX_Belfort_vs_Bisping
31,2:39,Lightweight,2,UFC_on_FX_Belfort_vs_Bisping
32,1:50,Lightweight,2,UFC_on_FX_Belfort_vs_Bisping
33,5:00,Heavyweight,5,UFC_on_FX_Belfort_vs_Bisping
34,5:00,Lightweight,3,UFC_on_FX_Belfort_vs_Bisping
35,3:44,Welterweight,2,UFC_on_FX_Belfort_vs_Bisping
36,1:00,Featherweight,2,UFC_on_FX_Belfort_vs_Bisping
37,1:08,Middleweight,1,UFC_on_FX_Belfort_vs_Bisping
38,5:00,Lightweight,3,UFC_on_FX_Belfort_vs_Bisping
39,1:02,Flyweight,2,UFC_on_FX_Belfort_vs_Bisping
40,4:50,Lightweight,2,UFC_on_FX_Belfort_vs_Bisping
41,5:00,Bantamweight,3,UFC_on_FX_Belfort_vs_Bisping
42,4:22,Lightweight,1,UFC_on_FX_Belfort_vs_Bisping
43,2:52,Middleweight,2,UFC_on_FX_Belfort_vs_Bisping
0,Martin Kampmann,Thiago Alves,Welterweight,UFC_on_FX_Alves_vs_Kampmann
1,Joseph Benavidez,Yasuhiro Urushitani,Flyweight,UFC_on_FX_Alves_vs_Kampmann
2,Demetrious Johnson,Ian McCall,Flyweight,UFC_on_FX_Alves_vs_Kampmann
3,Costas Philippou,Court McGee,Middleweight,UFC_on_FX_Alves_vs_Kampmann
4,James Te Huna,Aaron Rosa,Light Heavyweight,UFC_on_FX_Alves_vs_Kampmann
5,Anthony Perosh,Nick Penner,Light Heavyweight,UFC_on_FX_Alves_vs_Kampmann
6,Steven Siler,Cole Miller,Featherweight,UFC_on_FX_Alves_vs_Kampmann
7,Andrew Craig,Kyle Noke,Middleweight,UFC_on_FX_Alves_vs_Kampmann
8,TJ Waldburger,Jake Hecht,Welterweight,UFC_on_FX_Alves_vs_Kampmann
